"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"285","Adonai Mitchell","IND","11","WR88","","241","310","275.5"
"286","Zack Moss","","","RB81","","","242","242.0"
"287","Calvin Austin III","PIT","5","WR89","","262","284","273.0"
"288","Tory Horton","SEA","8","WR90","","259","289","274.0"
"289","Spencer Rattler","NO","11","QB38","","","245","245.0"
"290","Jalen Nailor","MIN","6","WR91","","284","265","274.5"
"291","Audric Estime","DEN","12","RB82","","","252","252.0"
"292","Theo Johnson","NYG","14","TE34","","266","291","278.5"
"293","Jimmy Garoppolo","LAR","8","QB39","","","254","254.0"
"294","Jaleel McLaughlin","DEN","12","RB83","","272","286","279.0"
"295","Sean Tucker","TB","9","RB84","","","255","255.0"
"296","Andrei Iosivas","CIN","10","WR92","","260","300","280.0"
"297","Noah Gray","KC","10","TE35","","271","293","282.0"
"298","Tyler Conklin","LAC","12","TE36","","","261","261.0"
"299","Troy Franklin","DEN","12","WR93","","291","275","283.0"
"300","Jalen Milroe","SEA","8","QB40","","293","274","283.5"
"301","Ty Johnson","BUF","7","RB85","","","264","264.0"
"302","Harold Fannin Jr.","CLE","9","TE37","","267","301","284.0"
"303","Tyler Higbee","LAR","8","TE38","","296","273","284.5"
"304","Luke McCaffrey","WAS","12","WR94","","","272","272.0"
"305","Dontayvion Wicks","GB","5","WR95","","273","308","290.5"
"306","Kayshon Boutte","NE","14","WR96","","294","285","289.5"
"307","Roman Wilson","PIT","5","WR97","","275","315","295.0"
"308","Xavier Restrepo","TEN","10","WR98","","277","","277.0"
"309","Tre Tucker","LV","8","WR99","","","278","278.0"
"310","Diontae Johnson","CLE","9","WR100","","278","326","302.0"
"311","Indianapolis Colts","DST","11","DST27","","283","","283.0"
"312","Las Vegas Raiders","DST","8","DST28","","285","","285.0"
"313","Cairo Santos","CHI","5","K22","","","287","287.0"
"314","Jacksonville Jaguars","DST","8","DST29","","288","","288.0"
"315","New Orleans Saints","DST","11","DST30","","290","","290.0"
"316","Tanner McKee","PHI","9","QB41","","","290","290.0"
"317","Oronde Gadsden II","LAC","12","TE39","","292","318","305.0"
"318","Marquez Valdes-Scantling","SEA","8","WR101","","295","","295.0"
"319","Jermaine Burton","CIN","10","WR102","","","295","295.0"
"320","Devin Singletary","NYG","14","RB86","","302","297","299.5"
"321","Tutu Atwell","LAR","8","WR103","","297","319","308.0"
"322","Jordan Whittington","LAR","8","WR104","","298","","298.0"
"323","Ben Sinnott","WAS","12","TE40","","299","","299.0"
"324","Devaughn Vele","DEN","12","WR105","","","299","299.0"
"325","Christian Watson","GB","5","WR106","","300","","300.0"
"326","Taysom Hill","NO","11","TE41","","301","","301.0"
"327","Kenneth Gainwell","PIT","5","RB87","","","302","302.0"
"328","Khalil Herbert","IND","11","RB88","","303","","303.0"
"329","Samaje Perine","CIN","10","RB89","","","304","304.0"
"330","Jalen Tolbert","DAL","10","WR107","","","305","305.0"
"331","KeAndre Lambert-Smith","LAC","12","WR108","","","306","306.0"
"332","Emanuel Wilson","GB","5","RB90","","","312","312.0"
"333","Kimani Vidal","LAC","12","RB91","","","317","317.0"
"334","Noah Brown","WAS","12","WR109","","","320","320.0"
"335","Dameon Pierce","HOU","6","RB92","","","321","321.0"
"336","Noah Fant","CIN","10","TE42","","","322","322.0"
"337","Elijah Moore","BUF","7","WR110","","","323","323.0"
"338","Phil Mafah","DAL","10","RB93","","","324","324.0"
"339","Isaiah Davis","NYJ","9","RB94","","","327","327.0"
"340","Brandin Cooks","NO","11","WR111","","","328","328.0"
"341","Atlanta Falcons","DST","5","DST31","","","329","329.0"
"342","Demarcus Robinson","SF","14","WR112","","","330","330.0"
"343","Malik Washington","MIA","12","WR113","","","331","331.0"
"344","Jaylin Lane","WAS","12","WR114","","","332","332.0"
"345","Chad Ryland","ARI","8","K23","","","333","333.0"
""
""
